SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
304992,-37.813515,144.970002,Telstra Site Lt Collins St b/n Exhibition & Russell Sts MELBOURNE,VIC,2,3000,Unknown,,KX3P
304993,-37.812752,144.972748,Telstra Site Little Collins St between Spring & Exhibition Sts MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304994,-37.811522,144.969375,Telstra Site Lt Bourke Street b/n Russell & Exhibition Sts MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304995,-37.810509,144.983828,Telstra Site cnr Albert & Clarendon Sts EAST MELBOURNE,VIC,2,3002,Within 10 metres,,KX3P
304996,-37.808929,144.970581,Telstra Site Lt Lonsdale b/n Exhibition & Spring Sts MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304997,-37.806626,144.962466,Telstra Site 501 Swanston St (level 16) MELBOURNE,VIC,2,3053,Within 10 metres,,KX3P
304998,-37.813,145.3436,Telstra Site Montrose Recreational Reserve Stradbroke Rd MONTROSE,VIC,2,3765,Within 10 metres,,LX1N
304999,-37.803628,145.01107,Telstra Site Studley Park Rd opposite Walmer St KEW,VIC,2,3101,Within 10 metres,,LX1M
305000,-37.79896,144.8919,Telstra Site 122 Princess Highway FOOTSCRAY,VIC,2,3011,Within 10 metres,,KX3P
305001,-37.79449,145.36092,Telstra Site adj York on Lilydale Convention Centre Swansea Rd MONTROSE,VIC,2,3796,Within 10 metres,,LX1N
305002,-37.783088,145.062809,Telstra Site 1575 Burke Rd North KEW EAST,VIC,2,3102,Within 10 metres,,LX1M
305004,-37.77007,144.775019,Telstra Site cnr Western Hwy & Station Rd DEER PARK,VIC,2,3023,Within 10 metres,,KX3P
305006,-37.744513,144.997991,Telstra Site cnr Bell St & St Georges Rd PRESTON,VIC,2,3072,Within 10 metres,,KX3L
305008,-37.724488,144.756869,Telstra Site Taylors Rd SYDENHAM,VIC,2,3021,Within 10 metres,,KX3L
305009,-37.683846,144.916505,Telstra Site on ramp cnr Camp & Pascoe Vale Rds BROADMEADOWS,VIC,2,3047,Within 10 metres,,KX3L
305010,-37.689372,143.52372,Telstra Site Flagstaff Firewatch Tower off Glenelg Hwy LINTON,VIC,4,3351,Unknown,,KX2K
305011,-37.661493,144.374817,Telstra Site Intersection of Western Freeway & Dicksons Rd Overpass MYRNIONG,VIC,2,3341,Within 10 metres,,KX3J
305012,-37.65337,144.59238,Telstra Site Lot 3 Minns Rd KURUNJANG,VIC,2,3337,Within 10 metres,,KX3K
305013,-37.653511,145.020502,Telstra Site Epping Plaza cnr Cooper & High Sts EPPING,VIC,2,3076,Within 10 metres,,LX1I
305014,-37.632788,144.806123,Telstra Site Bulla Sports Centre & Tennis Courts Somerton Rd BULLA,VIC,2,3428,Within 10 metres,,KX3L
305018,-37.853155,145.040517,Hutchison Site 1330 Malvern Rd MALVERN,VIC,2,3144,Within 10 metres,,LX1M
305019,-37.86143,145.252351,Hutchison Site 98 Coleman Rd STUDFIELD,VIC,2,3155,Within 10 metres,,LX1N
305020,-37.94071,145.170193,Hutchison Site 46 Smith Rd SPRINGVALE,VIC,2,3171,Within 10 metres,62,LX1M
305022,-37.708889,144.848198,47 Lillee Crescent TULLAMARINE,VIC,2,3042,Within 10 metres,,KX3L
305023,-37.68804,142.01986,CFA Site L Menzel Property Mt Bainbridge Rd HAMILTON,VIC,4,3300,Within 100 metres,284,KX1I
305024,-37.752601,144.935064,Vodafone/Optus Site Hopetoun Ave BRUNSWICK WEST,VIC,2,3055,Within 10 metres,,KX3P
305025,-37.809147,144.826264,41 Strzelecki Avenue SUNSHINE WEST,VIC,2,3020,Within 10 metres,,KX3P
305026,-36.106023,146.835711,Visy Board McKoy Street WODONGA,VIC,4,3691,Within 10 metres,,LW8D
305027,-36.109806,146.869146,VisyPak 1 Melrose Drive WODONGA,VIC,4,3690,Within 10 metres,,LW8D
